typeAction,quantity,lmtPrice,delta,ratio,time
BUY,20000,1.2252,0.0005,False,2020-12-29 11:04:32.883535
BUY,20000,1.2257,0.0005,False,2020-12-29 11:11:22.929559
BUY,20000,1.2252,0.0005,False,2020-12-29 11:17:57.995945
BUY,20000,1.2247,0.0005,False,2020-12-29 11:20:59.750651
BUY,20000,1.2247,0.0005,False,2020-12-29 11:43:55.664810
BUY,20000,1.2247,0.0005,False,2020-12-29 12:07:17.590542
BUY,20000,1.22415,0.0005,False,2020-12-29 12:21:28.191569
BUY,20000,1.2242,0.0005,False,2020-12-29 12:50:10.283077
BUY,20000,1.2247,0.0005,False,2020-12-29 13:19:38.720907
BUY,20000,1.2262,0.0005,False,2020-12-29 13:40:47.899267
BUY,20000,1.2257,0.0005,False,2020-12-29 13:45:12.360180
BUY,20000,1.2252,0.0005,False,2020-12-29 14:35:45.856155
BUY,20000,1.2252,0.0005,False,2020-12-29 15:13:21.411565
BUY,20000,1.2267,0.0005,False,2020-12-29 15:48:17.278410
BUY,20000,1.2272,0.0005,False,2020-12-29 15:51:53.821258
BUY,20000,1.2267,0.0005,False,2020-12-29 15:56:16.643454
BUY,20000,1.2262,0.0005,False,2020-12-29 16:02:18.919694
BUY,20000,1.2257,0.0005,False,2020-12-29 16:05:41.490893
BUY,20000,1.2252,0.0005,False,2020-12-29 16:12:37.680223
BUY,20000,1.2247,0.0005,False,2020-12-29 16:13:29.003288
BUY,20000,1.2252,0.0005,False,2020-12-29 16:24:54.589251
BUY,20000,1.2247,0.0005,False,2020-12-29 16:27:17.171642
BUY,20000,1.2252,0.0005,False,2020-12-29 16:55:30.427708
BUY,20000,1.2247,0.0005,False,2020-12-29 16:56:40.637281
BUY,20000,1.2242,0.0005,False,2020-12-29 16:57:35.733245
BUY,20000,1.2242,0.0005,False,2020-12-29 17:00:26.524924
BUY,20000,1.2247,0.0005,False,2020-12-29 17:25:37.890706
BUY,20000,1.2247,0.0005,False,2020-12-29 17:41:04.164646
BUY,20000,1.2247,0.0005,False,2020-12-29 18:23:32.083193
BUY,20000,1.2242,0.0005,False,2020-12-29 18:30:55.441149
BUY,20000,1.2237,0.0005,False,2020-12-29 19:06:07.399633
